"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Wasco",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","LabelsDemoSuite","","","","Labels Demo Example 4","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example4""
			Severity = ""minor""
			Unique tag = ""Example4"""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","SetupSuite","","","","TableTest With Setup - Sweden#1991","
		Test will unpack all data from passed parameter to the variables in WithTestSetup func.
		After test finish, it will do ctx.Done() in TestTearDown.
		All Setup and TearDown tests will be add as Befores and Afters to test's container.
		Used Data: Sweden#1991"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#3","This test checks that 1 Equal 3"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","LabelsDemoSuite","","","","Labels Demo Example 4","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example4""
			Severity = ""minor""
			Unique tag = ""Example4"""
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails immediately with broken status and message inside step","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"skipped","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","[XSkip]This test skipped by assert with message","
		This Test will be skipped with assert Error.
		Error text: Assertion Failed"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized #4","This test checks that 1 Equal 4"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","This test fails immediately with broken status and message inside step","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized #1","This test checks that 1 Equal 1"
